Id,OrderPalletsByGroup,AssemblyProductsFromDifferentSubgroups,AllowEmptyBays,DistributeItemsOnEmptyPallets,MinimumQuantityOfSKUsToDistributeOnEmptyPallets,IncludeTopOfPallet,AdjustReassemblesAfterWater,UseBayLessThan35,JoinPalletsWithLessThanOccupancy,OrderPalletByProductGroup,OrderProductsForAutoServiceMap,KegExclusivePallet,JoinDisposables,MinimumPercentageOccupancy,UnbCode,DistributeMixedRouteOnASCalculus,OrderByItemsSequence,CalculusTypeToBeExecuted,ChoppCodes,FolderFilesPath,FolderLoadPath,FolderPromaxXmlPath,FolderResultPath,PackingPalletTopCodes,ReceiverEmails,WaterIsotonicCodes,FolderLasIntegration,VehicleLicensePlateDefault,AllowVehicleWithoutBays,AllowGroupingComplexLoads,MinimumVolumeInComplexLoads,QuantitySkuInComplexLoads,UseItemsExclusiveOfWarehouse,EnableSafeSideRule,WarehouseId
--,-------------------,--------------------------------------,--------------,-----------------------------,-----------------------------------------------,------------------,---------------------------,----------------,--------------------------------,-------------------------,------------------------------,------------------,---------------,--------------------------,-------,--------------------------------,--------------------,------------------------,----------,---------------,--------------,-------------------,----------------,---------------------,--------------,------------------,--------------------,--------------------------,-----------------------,-------------------------,---------------------------,-------------------------,----------------------------,------------------,-----------
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,458
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,479
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,0,122
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,437
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,124
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,436
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,30,15,0,1,439
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,472
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,128
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,0,321
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,130
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,452
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,462
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,133
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,295,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,419
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,30,0,1,135
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,30,0,1,480
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,482
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,45,40,0,1,423
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,470
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,140
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,30,0,1,410
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,30,0,1,411
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,0,143
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,30,0,0,447
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,417
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,146
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,30,0,1,434
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,45,40,0,1,148
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,149
31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,835,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,42,40,0,1,451
32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,845,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,30,0,1,442
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,152
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,36,0,1,435
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,154
36,0,0,0,1,5,0,0,0,0,0,0,0,0,0,944,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,30,0,1,426
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,412
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,157
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,84,30,0,1,481
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,30,0,1,484
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,483
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,422
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,316
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,30,0,1,456
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,477
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,290
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,274
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,167
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,168
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,169
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,170
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,171
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,172
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,173
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,174
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,175
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,176
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,177
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,179
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,288
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,181
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,182
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,183
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,185
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,186
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,408
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,30,15,0,1,334
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,84,30,0,1,425
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,42,20,0,1,440
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,35,24,0,1,413
